K11635	10
K03519	8
K00800	25
K22050	1
K18475	22
K03581	4
K01945	22
K03451	1
K15342	21
K06281	15
K03424	13
K11633	2
K08313	1
K20989	15
K14418	3
K13238	2
K07755	14
K03750	41
K12633	5
K18997	1
K21532	1
K00651	5
K21466	29
K03217	7
K03680	17
K10973	1
K03697	22
K12945	13
K00937	16
K19139	9
K18959	62
K10004	3
K19206	8
K22222	1
K06174	21
K03312	10
K04092	8
K12932	1
K19232	125
K00554	25
K06229	6
K16237	22
K04656	23
K03518	1
K02111	6
K12906	43
K01666	1
K21500	1
K20451	9
K15631	8
K02189	26
K14611	2
K03205	5
K03529	26
K01875	11
K19337	5
K03168	26
K03575	25
K24910	7
K21856	2
K21961	31
K01873	21
K15125	24
K12253	1
K00773	16
K03322	39
K03106	12
K17103	14
K01156	3
K09117	4
K13788	17
K22346	4
K02968	2
K11608	1
K05548	18
K03100	11
K08325	13
K00928	5
K19140	9
K07319	1
K01608	1
K24441	1
K19577	2
K21474	5
K12913	1
K00763	17
K17215	14
K18332	3
K01571	8
K03216	30
K03502	22
K03696	24
K07213	8
K00948	3
K03272	5
K03687	8
K03309	21
K07566	21
K08176	5
K00013	22
K19334	22
K01670	16
K07097	1
K01779	9
K15954	15
K15376	13
K07469	21
K15789	4
K15988	1
K24250	4
K20530	5
K03438	18
K14055	2
K23948	16
K19147	7
K21525	1
K01585	22
K02358	1
K07223	13
K00748	19
K10965	14
K03885	29
K07792	6
K03403	28
K03798	15
K02622	19
K03631	20
K03694	1
K21470	10
K06133	12
K16092	35
K13941	15
K07334	9
K00878	23
K07391	21
K19661	1
K16109	2
K12583	26
K15950	2
K02065	2
K07126	32
K16959	19
K06997	13
K03439	17
K12585	1
K20534	28
K18300	25
K20591	12
K02034	75
K11358	67
K19336	4
K18491	6
K20115	2
K01848	33
K23183	10
K06959	29
K21372	1
K02585	1
K17535	1
K03427	40
K02453	24
K03548	12
K01938	21
K03574	43
K20512	1
K15336	24
K03522	38
K07095	18
K10046	26
K07447	5
K11938	16
K10038	9
K01940	11
K21228	2
K05992	1
K22300	1
K01744	11
K19788	16
K05884	7
K09861	25
K21300	1
K18682	6
K03243	1
K21055	14
K08372	9
K17686	15
K11070	3
K08324	2
K00615	7
K16089	162
K17217	15
K17680	17
K02822	11
K13683	1
K01012	8
K12940	25
